rownames,family,father,mother,children,childNum,gender,childHeight
1,001,78.5,67.0,4,1,male,73.2
5,002,75.5,66.5,4,1,male,73.5
9,003,75.0,64.0,2,1,male,71.0
11,004,75.0,64.0,5,1,male,70.5
16,005,75.0,58.5,6,1,male,72.0
23,007,74.0,68.0,6,1,male,76.5
34,011,74.0,62.0,8,1,male,74.0
43,013,73.0,67.0,2,1,male,71.0
45,014,73.0,67.0,2,1,male,68.0
47,015,73.0,66.5,3,1,male,71.0
50,016,73.0,65.0,9,1,male,72.0
59,017,73.0,64.5,6,1,male,74.0
69,020,72.7,69.0,8,1,male,73.2
77,021,72.0,68.0,3,1,male,73.0
80,022,72.0,67.0,3,1,male,73.0
83,023,72.0,65.0,7,1,male,74.2
93,026,72.0,63.0,5,1,male,70.5
98,027,72.0,63.0,3,1,male,69.0
101,028,72.0,63.0,6,1,male,73.0
111,031,72.5,62.0,6,1,male,71.0
117,032,72.0,62.0,5,1,male,74.0
122,033,72.0,62.0,5,1,male,72.0
128,035,71.0,69.0,5,1,male,78.0
133,036,71.0,67.0,4,1,male,73.2
137,037,71.0,66.0,4,1,male,70.0
141,038,71.0,66.0,6,1,male,70.0
147,039,71.0,66.0,2,1,male,71.0
149,040,71.0,66.0,5,1,male,76.0
154,041,71.7,65.5,1,1,male,70.5
155,042,71.0,65.5,6,1,male,72.0
161,043,71.5,65.5,2,1,male,73.0
163,044,71.5,65.0,2,1,male,68.5
165,045,71.0,65.0,3,1,male,68.0
176,047,71.7,64.5,4,1,male,72.0
180,048,71.0,64.0,3,1,male,68.0
183,049,71.5,64.5,7,1,male,72.0
190,050,71.0,64.5,2,1,male,73.0
194,052,71.0,63.5,5,1,male,71.0
199,053,71.0,63.0,9,1,male,71.0
208,054,71.0,63.0,4,1,male,71.0
212,055,71.0,62.0,5,1,male,71.0
217,056,71.0,62.0,5,1,male,72.0
222,057,71.0,62.5,5,1,male,70.0
227,058,71.0,62.0,7,1,male,70.5
235,060,71.0,58.0,2,1,male,71.5
237,061,70.0,69.0,4,1,male,71.0
241,062,70.0,69.0,6,1,male,70.0
247,063,70.0,68.0,1,1,male,75.0
248,064,70.0,67.0,5,1,male,70.0
254,066,70.0,66.5,11,1,male,73.0
265,067,70.5,65.0,4,1,male,72.0
274,069,70.0,65.0,8,1,male,73.0
282,070,70.0,65.0,5,1,male,67.0
287,071,70.0,65.0,6,1,male,70.0
293,072,70.0,65.0,7,1,male,79.0
300,073,70.0,65.0,3,1,male,73.0
303,074,70.0,65.0,2,1,male,69.0
305,075,70.0,64.7,7,1,male,72.0
312,076,70.0,64.0,7,1,male,70.7
319,077,70.0,64.0,4,1,male,70.0
323,078,70.0,64.2,5,1,male,72.0
328,079,70.5,64.0,8,1,male,74.0
337,081,70.0,64.0,4,1,male,68.0
341,082,70.0,64.0,9,1,male,71.0
350,083,70.0,63.7,8,1,male,70.0
358,084,70.5,63.0,4,1,male,70.0
362,085,70.5,63.0,5,1,male,72.5
367,086,70.0,63.5,4,1,male,71.0
371,087,70.0,63.0,4,1,male,68.0
375,088,70.0,63.0,4,1,male,70.0
379,089,70.5,62.0,8,1,male,72.0
387,090,70.3,62.7,7,1,male,70.7
394,091,70.5,62.0,3,1,male,72.0
397,092,70.0,61.0,2,1,male,71.2
399,093,70.0,60.0,4,1,male,67.0
405,095,70.0,58.5,3,1,male,71.5
408,096,70.0,58.0,5,1,male,72.0
413,097,69.0,68.5,10,1,male,75.0
424,099,69.0,66.0,8,1,male,73.0
432,100,69.0,66.0,3,1,male,71.2
435,101,69.0,66.7,4,1,male,75.0
439,102,69.0,66.0,6,1,male,70.0
445,103,69.0,66.5,7,1,male,73.0
452,104,69.5,66.5,4,1,male,70.5
456,105,69.0,66.5,6,1,male,71.0
462,106,69.5,66.0,7,1,male,71.0
469,107,69.0,66.0,9,1,male,73.0
478,108,69.0,65.0,7,1,male,70.0
485,109,69.5,64.5,7,1,male,69.7
492,110,69.2,64.0,4,1,male,71.7
497,112,69.0,63.0,3,1,male,69.0
500,113,69.0,63.0,1,1,male,72.0
501,114,69.0,63.0,6,1,male,73.0
507,115,69.0,63.5,7,1,male,70.5
514,116,69.0,63.5,3,1,male,70.5
518,118,69.5,62.0,3,1,male,73.0
521,119,69.0,62.0,5,1,male,73.0
526,120,69.5,62.0,11,1,male,72.0
537,121,69.0,62.5,8,1,male,71.0
545,122,69.0,62.0,4,1,male,72.0
549,123,69.5,61.0,5,1,male,70.0
554,124,69.0,61.0,9,1,male,68.0
563,125,69.0,60.0,3,1,male,70.5
566,126,69.0,60.0,4,1,male,69.0
570,127,69.0,60.5,1,1,male,69.5
571,128,68.7,70.5,2,1,male,71.0
573,129,68.5,67.0,3,1,male,73.0
576,130,68.5,66.5,11,1,male,70.0
587,131,68.0,65.0,2,1,male,67.5
589,132,68.0,65.5,2,1,male,66.0
591,133,68.0,65.5,7,1,male,71.7
598,134,68.0,65.0,4,1,male,72.0
602,135,68.5,65.0,8,1,male,69.2
610,136A,68.5,65.0,8,1,male,72.0
618,136,68.0,64.0,10,1,male,71.0
628,137,68.0,64.0,4,1,male,66.0
632,138,68.0,64.0,5,1,male,71.2
638,140,68.0,64.0,10,1,male,69.0
648,141,68.0,63.0,8,1,male,70.5
656,142,68.5,63.5,4,1,male,73.5
660,143,68.0,63.0,1,1,male,67.0
661,144,68.0,63.0,4,1,male,70.0
665,145,68.0,63.0,8,1,male,71.0
673,146,68.0,63.0,6,1,male,67.0
679,147,68.5,63.5,1,1,male,68.2
680,148,68.0,63.0,1,1,male,70.0
681,149,68.2,63.5,5,1,male,70.0
686,150,68.0,62.5,1,1,male,68.5
687,151,68.7,62.0,2,1,male,67.7
689,152,68.0,62.5,1,1,male,66.5
690,153,68.0,61.0,5,1,male,68.5
695,154,68.0,60.2,1,1,male,66.7
696,155,68.0,60.0,7,1,male,64.0
703,156,68.0,60.0,4,1,male,67.5
707,157,68.5,59.0,1,1,male,69.0
708,158,68.0,59.0,10,1,male,68.0
718,159,67.0,66.2,5,1,male,72.7
723,160,67.0,66.5,1,1,male,71.0
724,161,67.0,66.0,8,1,male,73.0
732,162,67.0,65.0,6,1,male,69.7
738,163,67.0,65.5,5,1,male,70.0
743,164,67.0,65.5,4,1,male,70.0
747,165,67.0,65.0,3,1,male,65.0
750,166,67.5,65.0,11,1,male,71.0
761,167,67.0,64.0,4,1,male,71.5
765,168,67.0,63.5,8,1,male,71.0
773,169,67.0,63.0,3,1,male,69.0
776,170,67.5,62.0,5,1,male,70.0
781,171,67.0,61.0,1,1,male,67.0
782,172,66.0,67.0,8,1,male,70.5
790,173,66.0,67.0,9,1,male,72.0
799,174,66.0,66.0,5,1,male,66.0
804,175,66.0,66.0,6,1,male,72.0
810,176,66.5,65.0,8,1,male,68.7
818,177,66.0,65.5,5,1,male,72.0
823,178,66.0,63.0,1,1,male,70.0
826,180,66.5,63.0,6,1,male,67.2
832,181,66.5,62.5,7,1,male,70.0
839,182,66.0,61.5,1,1,male,70.0
840,183,66.0,60.0,4,1,male,68.0
844,184,66.0,60.0,1,1,male,65.0
845,185,66.0,59.0,15,1,male,68.0
860,186,65.0,67.0,4,1,male,66.5
865,188,65.0,66.0,4,1,male,63.0
869,189,65.0,66.0,5,1,male,67.0
874,190,65.0,65.0,9,1,male,69.0
883,191,65.0,65.5,2,1,male,70.7
885,192,65.0,65.0,6,1,male,69.2
891,193,65.0,64.0,6,1,male,67.0
897,194,65.0,63.0,2,1,male,70.0
899,195,65.0,63.0,3,1,male,66.0
902,196,65.5,63.0,4,1,male,71.0
906,197,65.5,60.0,5,1,male,68.0
911,198,64.0,64.0,7,1,male,71.5
918,199,64.0,64.0,7,1,male,70.5
925,200,64.0,63.0,1,1,male,64.5
926,201,64.0,60.0,2,1,male,66.0
930,203,62.0,66.0,3,1,male,64.0
933,204,62.5,63.0,2,1,male,66.5
6,002,75.5,66.5,4,2,male,72.5
12,004,75.0,64.0,5,2,male,68.5
17,005,75.0,58.5,6,2,male,69.0
24,007,74.0,68.0,6,2,male,74.0
35,011,74.0,62.0,8,2,male,70.0
46,014,73.0,67.0,2,2,male,67.0
48,015,73.0,66.5,3,2,male,70.5
51,016,73.0,65.0,9,2,male,70.5
60,017,73.0,64.5,6,2,male,73.0
70,020,72.7,69.0,8,2,male,73.0
81,022,72.0,67.0,3,2,male,71.0
84,023,72.0,65.0,7,2,male,70.5
94,026,72.0,63.0,5,2,male,70.5
99,027,72.0,63.0,3,2,male,67.0
102,028,72.0,63.0,6,2,male,67.0
112,031,72.5,62.0,6,2,male,70.0
118,032,72.0,62.0,5,2,male,72.0
123,033,72.0,62.0,5,2,male,71.5
129,035,71.0,69.0,5,2,male,74.0
134,036,71.0,67.0,4,2,male,73.0
142,038,71.0,66.0,6,2,male,69.0
150,040,71.0,66.0,5,2,male,72.0
156,042,71.0,65.5,6,2,male,72.0
164,044,71.5,65.0,2,2,male,67.7
166,045,71.0,65.0,3,2,male,68.0
177,047,71.7,64.5,4,2,male,71.0
181,048,71.0,64.0,3,2,male,68.0
184,049,71.5,64.5,7,2,male,71.0
195,052,71.0,63.5,5,2,male,67.0
200,053,71.0,63.0,9,2,male,70.0
209,054,71.0,63.0,4,2,male,71.0
213,055,71.0,62.0,5,2,male,70.0
218,056,71.0,62.0,5,2,male,70.5
228,058,71.0,62.0,7,2,male,70.0
236,060,71.0,58.0,2,2,male,69.0
238,061,70.0,69.0,4,2,male,70.0
242,062,70.0,69.0,6,2,male,68.7
249,064,70.0,67.0,5,2,male,69.0
255,066,70.0,66.5,11,2,male,72.0
266,067,70.5,65.0,4,2,male,70.2
275,069,70.0,65.0,8,2,male,72.0
283,070,70.0,65.0,5,2,male,65.0
288,071,70.0,65.0,6,2,male,70.0
294,072,70.0,65.0,7,2,male,75.0
301,073,70.0,65.0,3,2,male,72.5
304,074,70.0,65.0,2,2,male,69.0
306,075,70.0,64.7,7,2,male,70.0
313,076,70.0,64.0,7,2,male,70.0
320,077,70.0,64.0,4,2,male,68.0
324,078,70.0,64.2,5,2,male,70.0
329,079,70.5,64.0,8,2,male,69.5
342,082,70.0,64.0,9,2,male,70.0
351,083,70.0,63.7,8,2,male,67.0
359,084,70.5,63.0,4,2,male,68.5
363,085,70.5,63.0,5,2,male,69.0
368,086,70.0,63.5,4,2,male,67.5
372,087,70.0,63.0,4,2,male,67.0
376,088,70.0,63.0,4,2,male,66.5
380,089,70.5,62.0,8,2,male,70.0
388,090,70.3,62.7,7,2,male,69.7
395,091,70.5,62.0,3,2,male,72.0
398,092,70.0,61.0,2,2,male,67.0
400,093,70.0,60.0,4,2,male,64.5
406,095,70.0,58.5,3,2,male,64.5
409,096,70.0,58.0,5,2,male,66.0
414,097,69.0,68.5,10,2,male,71.0
425,099,69.0,66.0,8,2,male,72.0
433,100,69.0,66.0,3,2,male,71.0
436,101,69.0,66.7,4,2,male,74.0
440,102,69.0,66.0,6,2,male,68.5
446,103,69.0,66.5,7,2,male,71.0
453,104,69.5,66.5,4,2,male,67.5
463,106,69.5,66.0,7,2,male,71.0
470,107,69.0,66.0,9,2,male,72.0
479,108,69.0,65.0,7,2,male,68.5
486,109,69.5,64.5,7,2,male,68.0
493,110,69.2,64.0,4,2,male,66.5
502,114,69.0,63.0,6,2,male,70.0
508,115,69.0,63.5,7,2,male,67.0
519,118,69.5,62.0,3,2,male,72.0
522,119,69.0,62.0,5,2,male,71.0
527,120,69.5,62.0,11,2,male,70.0
538,121,69.0,62.5,8,2,male,70.0
546,122,69.0,62.0,4,2,male,68.0
550,123,69.5,61.0,5,2,male,69.5
555,124,69.0,61.0,9,2,male,68.0
567,126,69.0,60.0,4,2,male,66.0
574,129,68.5,67.0,3,2,male,71.0
577,130,68.5,66.5,11,2,male,69.0
588,131,68.0,65.0,2,2,male,66.0
592,133,68.0,65.5,7,2,male,71.5
599,134,68.0,65.0,4,2,male,72.0
603,135,68.5,65.0,8,2,male,68.0
611,136A,68.5,65.0,8,2,male,70.5
619,136,68.0,64.0,10,2,male,68.0
629,137,68.0,64.0,4,2,male,63.0
633,138,68.0,64.0,5,2,male,71.2
639,140,68.0,64.0,10,2,male,67.0
649,141,68.0,63.0,8,2,male,70.0
657,142,68.5,63.5,4,2,male,70.0
662,144,68.0,63.0,4,2,male,68.0
666,145,68.0,63.0,8,2,male,68.0
674,146,68.0,63.0,6,2,male,67.0
682,149,68.2,63.5,5,2,male,69.0
691,153,68.0,61.0,5,2,male,68.0
704,156,68.0,60.0,4,2,male,67.0
709,158,68.0,59.0,10,2,male,65.0
719,159,67.0,66.2,5,2,male,72.7
725,161,67.0,66.0,8,2,male,71.0
733,162,67.0,65.0,6,2,male,67.5
739,163,67.0,65.5,5,2,male,69.0
744,164,67.0,65.5,4,2,male,67.7
751,166,67.5,65.0,11,2,male,69.0
762,167,67.0,64.0,4,2,male,70.0
766,168,67.0,63.5,8,2,male,70.2
774,169,67.0,63.0,3,2,male,68.0
777,170,67.5,62.0,5,2,male,69.5
783,172,66.0,67.0,8,2,male,70.5
791,173,66.0,67.0,9,2,male,65.0
800,174,66.0,66.0,5,2,male,65.0
805,175,66.0,66.0,6,2,male,68.0
811,176,66.5,65.0,8,2,male,68.5
819,177,66.0,65.5,5,2,male,71.0
827,180,66.5,63.0,6,2,male,67.0
833,181,66.5,62.5,7,2,male,68.0
841,183,66.0,60.0,4,2,male,67.0
846,185,66.0,59.0,15,2,male,67.0
861,186,65.0,67.0,4,2,male,66.0
870,189,65.0,66.0,5,2,male,66.0
875,190,65.0,65.0,9,2,male,68.0
886,192,65.0,65.0,6,2,male,69.0
892,193,65.0,64.0,6,2,male,67.0
900,195,65.0,63.0,3,2,male,66.0
903,196,65.5,63.0,4,2,male,71.0
907,197,65.5,60.0,5,2,male,68.0
912,198,64.0,64.0,7,2,male,68.0
919,199,64.0,64.0,7,2,male,68.0
