,KRAKÃ“W-OBSERWATORIUM,WARSZAWA-BIELANY,year
0,2.135483870967742,1.974193548387097,1951
1,1.4580645161290324,0.6548387096774194,1952
2,2.267741935483871,2.416129032258064,1953
3,2.2806451612903227,4.377419354838709,1954
4,3.5709677419354846,4.532258064516128,1955
5,0.8612903225806453,3.0935483870967744,1956
6,5.13548387096774,2.7064516129032263,1957
7,1.7677419354838708,0.9387096774193548,1958
8,4.6,1.8483870967741935,1959
9,8.438709677419354,5.300000000000001,1960
10,4.067741935483871,2.5774193548387094,1961
11,4.764516129032258,1.464516129032258,1962
12,2.929032258064516,1.6161290322580646,1963
13,1.8193548387096772,1.038709677419355,1964
14,1.4838709677419357,4.464516129032258,1965
15,4.987096774193548,1.967741935483871,1966
16,1.9096774193548385,0.7870967741935485,1967
17,3.7741935483870974,1.6483870967741936,1968
18,2.487096774193548,1.2516129032258063,1969
19,6.15483870967742,5.806451612903226,1970
20,2.9967741935483874,0.4,1971
21,4.967741935483871,3.7,1972
22,2.4935483870967743,2.964516129032258,1973
23,4.0129032258064505,2.7322580645161296,1974
24,2.2967741935483863,3.6354838709677417,1975
25,2.0064516129032257,1.7967741935483874,1976
26,3.0548387096774188,2.519354838709677,1977
27,2.041935483870968,1.4032258064516132,1978
28,1.6290322580645162,2.0451612903225804,1979
29,3.661290322580645,2.4580645161290318,1980
30,2.52258064516129,5.2709677419354835,1981
31,2.229032258064516,0.5419354838709678,1982
32,1.5483870967741937,1.135483870967742,1983
33,2.519354838709678,2.0806451612903225,1984
34,2.7032258064516124,2.1580645161290324,1985
35,2.1387096774193544,1.803225806451613,1986
36,1.8806451612903228,2.2290322580645165,1987
37,2.0129032258064514,1.8870967741935483,1988
38,1.603225806451613,1.6096774193548389,1989
39,1.6419354838709677,1.632258064516129,1990
40,1.5419354838709678,2.9225806451612906,1991
41,2.835483870967743,0.9290322580645161,1992
42,2.329032258064516,2.4967741935483874,1993
43,1.2161290322580645,1.4451612903225806,1994
44,1.0419354838709676,2.1225806451612903,1995
45,2.1387096774193552,3.4096774193548383,1996
46,9.64516129032258,7.280645161290323,1997
47,2.3225806451612905,2.993548387096774,1998
48,2.5967741935483866,1.0645161290322578,1999
49,6.267741935483871,4.038709677419354,2000
50,5.535483870967742,4.312903225806451,2001
51,3.1548387096774198,0.9322580645161292,2002
52,3.067741935483871,2.267741935483871,2003
53,4.303225806451613,2.6161290322580646,2004
54,2.9999999999999996,2.103225806451613,2005
55,1.1419354838709677,1.0419354838709676,2006
56,2.2709677419354835,2.2451612903225806,2007
57,4.241935483870969,2.7580645161290325,2008
58,2.5129032258064514,3.1064516129032254,2009
59,5.7709677419354835,2.432258064516129,2010
60,5.7290322580645165,8.787096774193548,2011
61,1.2129032258064518,1.8290322580645162,2012
62,2.2193548387096778,0.39354838709677414,2013
63,4.358064516129032,2.225806451612903,2014
64,1.7548387096774198,1.632258064516129,2015
65,4.329032258064516,1.7838709677419358,2016
66,1.648387096774194,2.9419354838709677,2017
67,4.206451612903226,3.080645161290323,2018
68,1.1903225806451614,2.6548387096774198,2019
69,1.7967741935483872,1.0032258064516129,2020
70,5.574193548387097,4.325806451612904,2021
71,3.9000000000000004,3.4193548387096775,2022
72,2.664516129032258,1.5516129032258066,2023
